pricing_plan_id,app_id,feature
3070,1700,Near  Real-Time Refresh Rate
3070,1700,500 Posts
3070,1700,No 'Powered By'
3070,1700,Hashtags Support
3070,1700,SEO
3071,1701,Unlimited Videos and Galleries
3071,1701,* Advanced Video Play Icons
3071,1701,* Easy Customize settings to match your store
3071,1701,Advanced Controls
3071,1701,Lightbox & Inline
3072,1702,Pre-designed templates
3072,1702,Unlimited customize
3072,1702,Create up to 3 bars
3072,1702,"Track view, click, close"
3072,1702,Optimize responsive
3072,1702,Set visible on desktop or mobile
3073,1702,Everything in Free plan
3073,1702,Free for Development
3073,1702,Unlimited bars
3073,1702,Schedule display
3073,1702,Country/source filter
3073,1702,Switch multiple bars
3073,1702,Click-through-rate
3073,1702,Heatmap
3074,1703,All features included
3077,1706,Show Question/Answer anywhere
3077,1706,Unlimited Questions
3077,1706,Unlimited Answers
3077,1706,"Change FAQ skin (Custom text, color, etc.)"
3077,1706,Allow finding the questions
3078,1706,All FREE plan features
3078,1706,Up to 5 Categories
3078,1706,"Show FAQ in product, collection"
3078,1706,Remove copyright
3078,1706,Custom CSS
3078,1706,Allow customers to submit a question
3079,1706,All BASIC plan features
3079,1706,Unlimited Categories
3079,1706,Change many FAQ templates
3079,1706,Email notification to admin
3081,1708,LightBox PopUp
3081,1708,Page Level Targeting
3081,1708,Time Trigger
3081,1708,Scroll Trigger
3081,1708,Optin Links 2-Step Optin
3081,1708,Unlimited Notification
3081,1708,Segmentation
3081,1708,Desktop Only
3082,1708,Optin Funnel System
3082,1708,Funnel Sync
3082,1708,Floating Bar
3082,1708,Inline Forms
3082,1708,Schedule Notification
3082,1708,Welcome Drip Campaign
3082,1708,Device Targeting
3083,1708,Abandon Intent
3083,1708,Referral Detection
3083,1708,Device Detection
3083,1708,Geo Location Targeting
3083,1708,Double CTA Buttons
3083,1708,Image in Notification
3083,1708,Triggered Campaign
3085,1709,$0 - $100k revenue stores
3085,1709,Unlimited users
3085,1709,Unlimited stores
3085,1709,Full access to reports
3085,1709,Acquisition channel ROI tracking
3085,1709,2+ years historical
3086,1709,$100 - $250k revenue stores
3086,1709,Unlimited users
3086,1709,Unlimited stores
3086,1709,Full access to reports
3086,1709,Acquisition channel ROI tracking
3086,1709,2+ years historical
3087,1709,$250k - $1m revenue stores
3087,1709,Unlimited users
3087,1709,Unlimited stores
3087,1709,Full access to reports
3087,1709,Acquisition channel ROI tracking
3087,1709,2+ years historical
3090,1712,Up to 50 discount codes per month.
3091,1712,Up to 500 discount codes per month.
3092,1712,Unlimited number of discount codes.
3095,1715,Up to 50 Orders/Month
3095,1715,Review Moderator
3095,1715,Review Reminder Emails
3095,1715,Reviewer Badges
3095,1715,Social Share
3095,1715,Videos & Images
3095,1715,Import/Export Reviews
3095,1715,Email Support
3096,1715,Up to 100 Orders/Month
3096,1715,Review Moderator
3096,1715,Review Reminder Emails
3096,1715,Reviewer Badges
3096,1715,Social Share
3096,1715,Videos & Images
3096,1715,Import/Export Reviews
3096,1715,Email Support
3097,1715,Up to 200 Orders/Month
3097,1715,Review Moderator
3097,1715,Review Reminder Emails
3097,1715,Reviewer Badges
3097,1715,Social Share
3097,1715,Videos & Images
3097,1715,Import/Export Reviews
3097,1715,Email Support
3098,1715,Up to 500 Orders/Month
3098,1715,Review Moderator
3098,1715,Review Reminder Email
3098,1715,Reviewer Badges
3098,1715,Social Share
3098,1715,Videos & Images
3098,1715,Import/Export Reviews
3098,1715,Email Support
3100,1717,Our Starter Plan includes 3 Plugs (vendor spreadsheets) and 5000 SKUs managed per Plug.  Increased Plug and SKU quota plans are available.
3101,1717,Our Starter Plan includes 10 Plugs (vendor spreadsheets) and 10000 SKUs managed per Plug.  Increased Plug and SKU quota plans are available.
3102,1717,Our Starter Plan includes 25 Plugs (vendor spreadsheets) and 25000 SKUs managed per Plug.  Increased Plug and SKU quota plans are available.
3103,1718,Includes 2 Users
3103,1718,Unlimited Orders
3103,1718,Multi-Warehouse
3103,1718,Free API Access
3103,1718,Batch Pick & Pack
3103,1718,Single-Item Batch
3104,1718,Includes 5 Users
3104,1718,Unlimited Orders
3104,1718,Multi-Warehouse
3104,1718,Free API Access
3104,1718,Batch Pick & Pack
3104,1718,Single-Item Batch
3105,1718,Included 15 Users
3105,1718,Unlimited Orders
3105,1718,Multi-Warehouse
3105,1718,Free API Access
3105,1718,Batch Pick & Pack
3105,1718,Dynamic Slotting Available
3106,1718,Includes 5 Users
3106,1718,Unlimited Orders
3106,1718,Multi-Warehouse
3106,1718,Free API Access
3106,1718,Batch Pick & Pack
3106,1718,Unlimited Clients at no charge
3110,1722,"All features included, up to 100 messages per month"
3111,1722,"All features included, up to 1,000 messages per month"
3112,1722,"All features included, up to 2,100 messages per month"
3113,1722,"All features included, up to 4,300 messages per month"
3114,1723,Unlimited product bundles
3114,1723,Unlimited bundle views
3114,1723,Free onboarding support
3114,1723,Free heroic support 24x7
3117,1726,Rules editor
3117,1726,Automatic tagging for new orders
3117,1726,Apply rules to past orders
